2017-11-17T14:40:25.904504	+023.6C
2017-11-17T14:40:35.856480	+023.6C
2017-11-17T14:40:45.808418	+023.7C
2017-11-17T14:40:55.760411	+023.7C
2017-11-17T14:41:05.712385	+023.8C
2017-11-17T14:41:15.662537	+023.9C
2017-11-17T14:41:25.614313	+023.9C
2017-11-17T14:41:35.564578	+024.0C
2017-11-17T14:48:44.412305	+026.3C
2017-11-17T14:48:54.354475	+026.1C
2017-11-17T14:49:04.306479	+025.9C
2017-11-17T14:49:14.257679	+025.7C
2017-11-17T14:49:24.210294	+025.6C
2017-11-17T14:49:34.163308	+025.4C
2017-11-17T14:49:44.115367	+025.3C
2017-11-17T14:49:54.069487	+025.2C
2017-11-17T14:50:04.023479	+025.1C
2017-11-17T14:50:13.977476	+025.0C
2017-11-17T14:50:23.930620	+024.9C
2017-11-17T14:50:33.884278	+024.9C
2017-11-17T14:50:43.838241	+024.9C
2017-11-17T14:50:53.791918	+024.8C
2017-11-17T14:51:03.746308	+024.7C
2017-11-17T14:51:13.700314	+024.7C
2017-11-17T14:51:23.653450	+024.7C
2017-11-17T14:51:33.608478	+024.7C
2017-11-17T14:51:43.562481	+024.6C
2017-11-17T14:51:53.516481	+024.6C
2017-11-17T14:52:03.470311	+024.6C
2017-11-17T14:52:13.424312	+024.6C
2017-11-17T14:52:23.377236	+024.6C
2017-11-17T14:52:33.332307	+024.6C
2017-11-17T14:52:43.286240	+024.5C
2017-11-17T14:52:53.241306	+024.5C
2017-11-17T14:53:03.196241	+024.4C
2017-11-17T14:53:13.151591	+024.4C
2017-11-17T14:53:23.106409	+024.3C
2017-11-17T14:53:33.061647	+024.3C
2017-11-17T14:53:43.017447	+024.3C
2017-11-17T14:53:52.972301	+024.3C
2017-11-17T14:54:02.928481	+024.3C
2017-11-17T14:54:12.883241	+024.3C
2017-11-17T14:54:22.839197	+024.3C
2017-11-17T14:54:32.795236	+024.2C
2017-11-17T14:54:42.751237	+024.3C
2017-11-17T14:54:52.707422	+024.2C
2017-11-17T14:55:02.663242	+024.2C
2017-11-17T14:55:12.619308	+024.2C
2017-11-17T14:55:22.575245	+024.2C
2017-11-17T14:55:32.531253	+024.2C
2017-11-17T14:55:42.487482	+024.2C
2017-11-17T14:55:52.443311	+024.2C
2017-11-17T14:56:02.400257	+024.1C
2017-11-17T14:56:12.356267	+024.1C
2017-11-17T14:56:22.313310	+024.1C
2017-11-17T14:56:32.268306	+024.1C
2017-11-17T14:56:42.224308	+024.2C
2017-11-17T14:56:52.180314	+024.1C
2017-11-17T14:57:02.136376	+024.1C
2017-11-17T14:57:12.092514	+024.1C
2017-11-17T14:57:22.048437	+024.1C
2017-11-17T14:57:32.004381	+024.1C
2017-11-17T14:57:41.960553	+024.1C
2017-11-17T14:57:51.917450	+024.1C
2017-11-17T14:58:01.873656	+024.1C
2017-11-17T14:58:11.830495	+024.1C
2017-11-17T14:58:21.786260	+024.1C
2017-11-17T14:58:31.743482	+024.1C
2017-11-17T14:58:41.699243	+024.1C
2017-11-17T14:58:51.656272	+024.1C
2017-11-17T14:59:01.612348	+024.1C
2017-11-17T14:59:11.568367	+024.1C
2017-11-17T14:59:21.525414	+024.1C
2017-11-17T14:59:31.481598	+024.1C
2017-11-17T14:59:41.438424	+024.1C
2017-11-17T14:59:51.395480	+024.1C
2017-11-17T15:00:01.352517	+024.0C
2017-11-17T15:00:11.308290	+024.1C
2017-11-17T15:00:21.265309	+024.1C
2017-11-17T15:00:31.222276	+024.1C
2017-11-17T15:00:41.178271	+024.1C
2017-11-17T15:00:51.134270	+024.1C
2017-11-17T15:01:01.089537	+024.1C
2017-11-17T15:01:11.046400	+024.0C
2017-11-17T15:01:21.001696	+024.1C
2017-11-17T15:01:30.958440	+024.0C
2017-11-17T15:01:40.915267	+024.1C
2017-11-17T15:01:50.870627	+024.0C
2017-11-17T15:02:00.827473	+023.9C
2017-11-17T15:02:10.783413	+023.9C
2017-11-17T15:02:20.739312	+023.9C
2017-11-17T15:02:30.696482	+023.9C
2017-11-17T15:02:40.652273	+023.9C
2017-11-17T15:02:50.608244	+023.9C
2017-11-17T15:03:00.564684	+023.9C
2017-11-17T15:03:10.521368	+023.9C
2017-11-17T15:03:20.478312	+023.9C
2017-11-17T15:03:30.434310	+024.0C
2017-11-17T15:03:40.391315	+024.0C
2017-11-17T15:03:50.348311	+023.9C
2017-11-17T15:04:00.304237	+023.9C
2017-11-17T15:04:10.261311	+024.0C
2017-11-17T15:04:20.217365	+024.0C
2017-11-17T15:04:30.173369	+024.0C
2017-11-17T15:04:40.130438	+023.9C
2017-11-17T15:04:50.086537	+023.9C
2017-11-17T15:05:00.042245	+023.9C
2017-11-17T15:05:09.999312	+023.9C
2017-11-17T15:05:19.954283	+023.8C
2017-11-17T15:05:29.911308	+023.9C
2017-11-17T15:05:39.867413	+023.9C
2017-11-17T15:05:49.824501	+023.9C
2017-11-17T15:05:59.781291	+023.9C
2017-11-17T15:06:09.737304	+023.9C
